ori,new,percent,new_cls
16,4,0.25,1749
4,1,0.25,887
20,6,0.3,-1
10,3,0.3,-1
10,3,0.3,1593
10,3,0.3,1702
10,3,0.3,44
10,3,0.3,791
10,3,0.3,1301
10,3,0.3,1265
10,3,0.3,923
10,3,0.3,1055
16,5,0.3125,1485
20,7,0.35,1559
16,6,0.375,1498
8,3,0.375,1489
16,6,0.375,-1
16,6,0.375,1351
8,3,0.375,1353
16,6,0.375,-1
8,3,0.375,404
8,3,0.375,430
8,3,0.375,1319
8,3,0.375,1323
8,3,0.375,-1
16,6,0.375,327
8,3,0.375,259
8,3,0.375,1275
8,3,0.375,1535
8,3,0.375,1531
16,6,0.375,-1
8,3,0.375,564
8,3,0.375,-1
8,3,0.375,-1
8,3,0.375,1716
8,3,0.375,537
8,3,0.375,-1
16,6,0.375,1683
8,3,0.375,309
8,3,0.375,-1
10,4,0.4,1464
10,4,0.4,1204
10,4,0.4,1707
10,4,0.4,1142
20,8,0.4,1135
10,4,0.4,-1
10,4,0.4,736
10,4,0.4,764
10,4,0.4,434
10,4,0.4,-1
10,4,0.4,-1
10,4,0.4,1525
10,4,0.4,216
10,4,0.4,-1
10,4,0.4,1347
10,4,0.4,1717
10,4,0.4,263
10,4,0.4,1084
10,4,0.4,-1
10,4,0.4,451
10,4,0.4,361
20,8,0.4,-1
16,7,0.4375,-1
16,7,0.4375,959
16,7,0.4375,-1
16,7,0.4375,-1
20,9,0.45,-1
20,9,0.45,-1
4,2,0.5,34
14,7,0.5,1459
12,6,0.5,1722
24,12,0.5,885
4,2,0.5,1715
8,4,0.5,1304
8,4,0.5,1070
8,4,0.5,1599
16,8,0.5,983
8,4,0.5,1706
8,4,0.5,1152
8,4,0.5,1528
8,4,0.5,489
12,6,0.5,1537
28,14,0.5,1676
8,4,0.5,1231
8,4,0.5,1656
10,5,0.5,-1
8,4,0.5,1410
12,6,0.5,976
8,4,0.5,1034
8,4,0.5,894
8,4,0.5,1460
8,4,0.5,1239
4,2,0.5,-1
6,3,0.5,866
8,4,0.5,247
6,3,0.5,-1
4,2,0.5,220
10,5,0.5,-1
8,4,0.5,-1
4,2,0.5,1567
12,6,0.5,-1
8,4,0.5,888
8,4,0.5,1749
10,5,0.5,-1
8,4,0.5,1615
8,4,0.5,827
8,4,0.5,1614
4,2,0.5,1349
8,4,0.5,1341
6,3,0.5,479
6,3,0.5,97
12,6,0.5,427
8,4,0.5,768
8,4,0.5,1164
8,4,0.5,317
6,3,0.5,113
8,4,0.5,676
10,5,0.5,1210
12,6,0.5,1222
10,5,0.5,-1
6,3,0.5,-1
6,3,0.5,961
8,4,0.5,-1
6,3,0.5,326
20,10,0.5,-1
8,4,0.5,1635
6,3,0.5,1524
6,3,0.5,1424
6,3,0.5,1014
12,6,0.5,-1
8,4,0.5,1165
6,3,0.5,642
6,3,0.5,1610
20,10,0.5,50
6,3,0.5,878
12,6,0.5,927
8,4,0.5,18
14,7,0.5,-1
6,3,0.5,483
10,5,0.5,370
8,4,0.5,1326
8,4,0.5,337
8,4,0.5,680
8,4,0.5,782
8,4,0.5,1420
6,3,0.5,1523
6,3,0.5,-1
8,4,0.5,1384
8,4,0.5,1475
18,9,0.5,-1
6,3,0.5,-1
6,3,0.5,1057
6,3,0.5,1577
8,4,0.5,776
6,3,0.5,9
10,5,0.5,-1
6,3,0.5,66
6,3,0.5,426
8,4,0.5,742
10,5,0.5,1536
6,3,0.5,171
8,4,0.5,124
12,6,0.5,478
8,4,0.5,690
8,4,0.5,460
10,5,0.5,967
16,8,0.5,1253
12,6,0.5,1327
8,4,0.5,1313
8,4,0.5,1564
8,4,0.5,947
8,4,0.5,1018
16,8,0.5,1505
10,5,0.5,360
8,4,0.5,533
8,4,0.5,860
8,4,0.5,601
8,4,0.5,265
6,3,0.5,1510
8,4,0.5,593
8,4,0.5,852
10,5,0.5,407
8,4,0.5,547
8,4,0.5,1184
8,4,0.5,1624
8,4,0.5,292
8,4,0.5,295
8,4,0.5,625
8,4,0.5,-1
6,3,0.5,1713
8,4,0.5,952
8,4,0.5,1667
8,4,0.5,1683
6,3,0.5,1663
8,4,0.5,1448
4,2,0.5,976
6,3,0.5,-1
4,2,0.5,1359
8,4,0.5,1484
6,3,0.5,282
6,3,0.5,156
8,4,0.5,200
8,4,0.5,720
8,4,0.5,476
8,4,0.5,994
6,3,0.5,1740
8,4,0.5,985
8,4,0.5,1016
8,4,0.5,899
8,4,0.5,963
4,2,0.5,-1
6,3,0.5,1263
10,5,0.5,-1
18,9,0.5,-1
6,3,0.5,58
6,3,0.5,542
10,5,0.5,1339
4,2,0.5,1338
6,3,0.5,493
6,3,0.5,933
6,3,0.5,433
6,3,0.5,560
6,3,0.5,508
6,3,0.5,440
4,2,0.5,1144
6,3,0.5,-1
6,3,0.5,376
4,2,0.5,-1
8,4,0.5,-1
8,4,0.5,1383
6,3,0.5,128
12,6,0.5,481
6,3,0.5,192
8,4,0.5,450
6,3,0.5,286
12,6,0.5,-1
10,5,0.5,1557
6,3,0.5,522
6,3,0.5,907
4,2,0.5,1345
8,4,0.5,1736
6,3,0.5,1739
4,2,0.5,-1
6,3,0.5,1000
10,5,0.5,-1
8,4,0.5,1470
6,3,0.5,1360
6,3,0.5,-1
4,2,0.5,-1
6,3,0.5,1114
6,3,0.5,654
6,3,0.5,-1
6,3,0.5,1117
6,3,0.5,1490
4,2,0.5,-1
14,7,0.5,1445
8,4,0.5,1512
18,9,0.5,30
6,3,0.5,752
6,3,0.5,744
12,6,0.5,-1
10,5,0.5,469
6,3,0.5,-1
10,5,0.5,-1
6,3,0.5,466
6,3,0.5,777
6,3,0.5,-1
4,2,0.5,1447
6,3,0.5,-1
6,3,0.5,659
6,3,0.5,-1
14,7,0.5,1091
4,2,0.5,1224
6,3,0.5,11
6,3,0.5,125
6,3,0.5,260
6,3,0.5,587
6,3,0.5,1146
6,3,0.5,811
6,3,0.5,581
6,3,0.5,447
6,3,0.5,1031
6,3,0.5,1123
6,3,0.5,-1
8,4,0.5,-1
6,3,0.5,-1
8,4,0.5,743
6,3,0.5,350
10,5,0.5,-1
6,3,0.5,1654
6,3,0.5,196
6,3,0.5,559
18,9,0.5,-1
6,3,0.5,1370
6,3,0.5,-1
6,3,0.5,1619
6,3,0.5,393
10,5,0.5,1640
6,3,0.5,1482
6,3,0.5,495
10,5,0.5,861
10,5,0.5,1419
6,3,0.5,-1
6,3,0.5,-1
6,3,0.5,127
8,4,0.5,318
8,4,0.5,1149
8,4,0.5,250
6,3,0.5,1567
6,3,0.5,-1
10,5,0.5,1077
4,2,0.5,614
6,3,0.5,1166
6,3,0.5,691
8,4,0.5,130
8,4,0.5,96
8,4,0.5,867
14,7,0.5,1073
8,4,0.5,719
20,10,0.5,507
8,4,0.5,78
8,4,0.5,1009
8,4,0.5,1
4,2,0.5,77
8,4,0.5,831
8,4,0.5,491
8,4,0.5,1660
8,4,0.5,1451
8,4,0.5,756
12,6,0.5,-1
8,4,0.5,1591
8,4,0.5,1282
8,4,0.5,1737
14,7,0.5,1480
16,8,0.5,1042
18,9,0.5,1631
8,4,0.5,1478
8,4,0.5,1529
6,3,0.5,1709
8,4,0.5,1153
6,3,0.5,995
8,4,0.5,1479
12,6,0.5,1411
12,6,0.5,1049
10,5,0.5,1027
8,4,0.5,1504
8,4,0.5,1749
6,3,0.5,1093
12,6,0.5,1025
8,4,0.5,992
4,2,0.5,928
4,2,0.5,1708
8,4,0.5,1750
8,4,0.5,915
6,3,0.5,1651
6,3,0.5,1727
6,3,0.5,-1
10,5,0.5,-1
6,3,0.5,934
6,3,0.5,1188
6,3,0.5,1192
10,5,0.5,1426
6,3,0.5,604
10,5,0.5,-1
6,3,0.5,-1
6,3,0.5,741
6,3,0.5,1561
8,4,0.5,-1
6,3,0.5,1303
6,3,0.5,-1
8,4,0.5,243
8,4,0.5,308
8,4,0.5,732
8,4,0.5,925
8,4,0.5,-1
8,4,0.5,1653
8,4,0.5,1687
8,4,0.5,-1
8,4,0.5,1019
8,4,0.5,1569
8,4,0.5,510
8,4,0.5,801
8,4,0.5,1161
8,4,0.5,2
8,4,0.5,1160
8,4,0.5,936
8,4,0.5,760
