ori,new,percent,new_cls
16,3,0.1875,1551
12,3,0.25,-1
4,1,0.25,1289
12,3,0.25,1106
8,2,0.25,761
8,2,0.25,995
10,3,0.3,1601
10,3,0.3,1325
10,3,0.3,930
20,6,0.3,1464
20,6,0.3,-1
16,5,0.3125,-1
20,7,0.35,-1
16,6,0.375,1607
16,6,0.375,1439
8,3,0.375,1234
8,3,0.375,-1
8,3,0.375,852
16,6,0.375,1587
16,6,0.375,724
8,3,0.375,1510
8,3,0.375,-1
8,3,0.375,-1
8,3,0.375,1612
8,3,0.375,492
8,3,0.375,1090
8,3,0.375,1717
8,3,0.375,-1
8,3,0.375,1657
8,3,0.375,581
16,6,0.375,1425
8,3,0.375,1295
10,4,0.4,1490
10,4,0.4,-1
10,4,0.4,1693
10,4,0.4,-1
10,4,0.4,-1
20,8,0.4,-1
10,4,0.4,158
10,4,0.4,-1
10,4,0.4,168
10,4,0.4,-1
10,4,0.4,918
10,4,0.4,1271
10,4,0.4,-1
10,4,0.4,-1
10,4,0.4,5
10,4,0.4,162
10,4,0.4,1361
10,4,0.4,1508
10,4,0.4,306
10,4,0.4,-1
10,4,0.4,-1
10,4,0.4,-1
16,7,0.4375,728
16,7,0.4375,874
16,7,0.4375,1582
14,7,0.5,1517
12,6,0.5,1710
4,2,0.5,1703
8,4,0.5,960
16,8,0.5,927
8,4,0.5,1698
8,4,0.5,1180
8,4,0.5,1477
8,4,0.5,456
44,22,0.5,1725
12,6,0.5,1673
8,4,0.5,1674
12,6,0.5,-1
8,4,0.5,1536
6,3,0.5,1510
12,6,0.5,985
8,4,0.5,1212
10,5,0.5,1700
10,5,0.5,-1
8,4,0.5,1451
8,4,0.5,1254
4,2,0.5,201
10,5,0.5,-1
8,4,0.5,1442
4,2,0.5,1343
20,10,0.5,1479
16,8,0.5,-1
8,4,0.5,794
8,4,0.5,1701
20,10,0.5,-1
10,5,0.5,-1
6,3,0.5,1031
8,4,0.5,1594
8,4,0.5,-1
8,4,0.5,1637
8,4,0.5,1368
6,3,0.5,537
12,6,0.5,-1
8,4,0.5,577
8,4,0.5,1157
8,4,0.5,331
8,4,0.5,685
10,5,0.5,-1
6,3,0.5,771
10,5,0.5,1376
8,4,0.5,532
6,3,0.5,963
4,2,0.5,895
6,3,0.5,1073
8,4,0.5,1664
8,4,0.5,436
6,3,0.5,354
8,4,0.5,1613
6,3,0.5,1075
6,3,0.5,1512
6,3,0.5,1045
8,4,0.5,403
6,3,0.5,281
8,4,0.5,700
6,3,0.5,392
6,3,0.5,1486
8,4,0.5,1201
8,4,0.5,-1
6,3,0.5,1518
10,5,0.5,1269
8,4,0.5,26
14,7,0.5,-1
6,3,0.5,542
8,4,0.5,787
10,5,0.5,-1
8,4,0.5,1502
8,4,0.5,-1
8,4,0.5,696
10,5,0.5,1215
12,6,0.5,1675
20,10,0.5,1657
6,3,0.5,770
8,4,0.5,756
4,2,0.5,1574
6,3,0.5,-1
8,4,0.5,1393
8,4,0.5,1497
6,3,0.5,1152
8,4,0.5,-1
6,3,0.5,665
8,4,0.5,1610
8,4,0.5,808
6,3,0.5,8
12,6,0.5,-1
16,8,0.5,368
6,3,0.5,-1
8,4,0.5,267
6,3,0.5,81
10,5,0.5,476
8,4,0.5,763
6,3,0.5,346
6,3,0.5,230
8,4,0.5,38
12,6,0.5,-1
8,4,0.5,767
8,4,0.5,1576
16,8,0.5,1263
12,6,0.5,1503
8,4,0.5,1238
8,4,0.5,1025
16,8,0.5,1632
10,5,0.5,574
8,4,0.5,568
8,4,0.5,1030
6,3,0.5,739
8,4,0.5,294
6,3,0.5,947
8,4,0.5,816
10,5,0.5,465
8,4,0.5,743
8,4,0.5,1174
8,4,0.5,1129
8,4,0.5,1633
8,4,0.5,265
8,4,0.5,339
8,4,0.5,603
6,3,0.5,1668
10,5,0.5,1527
10,5,0.5,1577
6,3,0.5,1166
8,4,0.5,-1
6,3,0.5,1658
8,4,0.5,-1
4,2,0.5,985
6,3,0.5,1349
16,8,0.5,-1
4,2,0.5,1446
6,3,0.5,998
8,4,0.5,1402
6,3,0.5,1450
10,5,0.5,233
8,4,0.5,205
8,4,0.5,746
8,4,0.5,943
8,4,0.5,533
8,4,0.5,-1
6,3,0.5,1722
8,4,0.5,1056
8,4,0.5,502
8,4,0.5,1050
6,3,0.5,49
6,3,0.5,650
6,3,0.5,713
14,7,0.5,-1
4,2,0.5,1285
6,3,0.5,701
10,5,0.5,-1
6,3,0.5,-1
4,2,0.5,1728
6,3,0.5,-1
6,3,0.5,-1
6,3,0.5,558
6,3,0.5,612
6,3,0.5,-1
6,3,0.5,-1
10,5,0.5,-1
10,5,0.5,-1
4,2,0.5,150
6,3,0.5,1100
8,4,0.5,1394
10,5,0.5,-1
8,4,0.5,1054
6,3,0.5,-1
6,3,0.5,-1
14,7,0.5,-1
6,3,0.5,744
10,5,0.5,1289
12,6,0.5,1385
14,7,0.5,1462
10,5,0.5,-1
6,3,0.5,623
6,3,0.5,-1
6,3,0.5,36
10,5,0.5,1378
8,4,0.5,1482
10,5,0.5,-1
6,3,0.5,940
6,3,0.5,-1
8,4,0.5,1459
10,5,0.5,1667
4,2,0.5,-1
10,5,0.5,-1
6,3,0.5,983
6,3,0.5,1533
6,3,0.5,-1
14,7,0.5,1529
6,3,0.5,1192
6,3,0.5,670
14,7,0.5,1437
6,3,0.5,-1
18,9,0.5,18
6,3,0.5,-1
