ori,new,percent,new_cls
12,3,0.25,1583
12,3,0.25,1619
8,2,0.25,1572
16,4,0.25,748
16,4,0.25,-1
8,2,0.25,1495
4,1,0.25,-1
4,1,0.25,-1
8,2,0.25,1656
10,3,0.3,-1
10,3,0.3,1106
10,3,0.3,1236
10,3,0.3,-1
20,6,0.3,1739
16,5,0.3125,-1
20,7,0.35,-1
20,7,0.35,1622
20,7,0.35,-1
16,6,0.375,1645
8,3,0.375,1411
8,3,0.375,-1
8,3,0.375,-1
8,3,0.375,-1
8,3,0.375,-1
16,6,0.375,-1
16,6,0.375,1668
8,3,0.375,-1
8,3,0.375,575
8,3,0.375,1597
8,3,0.375,1248
8,3,0.375,-1
8,3,0.375,-1
16,6,0.375,1647
8,3,0.375,-1
8,3,0.375,-1
8,3,0.375,1697
8,3,0.375,991
8,3,0.375,-1
8,3,0.375,649
8,3,0.375,-1
8,3,0.375,1210
8,3,0.375,1371
8,3,0.375,1356
8,3,0.375,411
8,3,0.375,292
10,4,0.4,1501
10,4,0.4,-1
10,4,0.4,1205
10,4,0.4,1130
10,4,0.4,1589
10,4,0.4,-1
20,8,0.4,1739
10,4,0.4,-1
10,4,0.4,-1
10,4,0.4,1658
10,4,0.4,1648
10,4,0.4,1452
10,4,0.4,238
10,4,0.4,-1
10,4,0.4,1304
10,4,0.4,1262
10,4,0.4,1429
10,4,0.4,229
10,4,0.4,-1
10,4,0.4,466
10,4,0.4,1099
20,8,0.4,-1
16,7,0.4375,-1
16,7,0.4375,687
16,7,0.4375,299
20,9,0.45,-1
4,2,0.5,67
14,7,0.5,1456
12,6,0.5,1728
16,8,0.5,-1
24,12,0.5,1284
4,2,0.5,1706
8,4,0.5,1321
8,4,0.5,1602
16,8,0.5,888
8,4,0.5,1163
8,4,0.5,1342
8,4,0.5,532
44,22,0.5,1711
12,6,0.5,1603
8,4,0.5,1626
24,12,0.5,-1
8,4,0.5,1518
12,6,0.5,1023
8,4,0.5,1111
10,5,0.5,1726
6,3,0.5,898
4,2,0.5,223
10,5,0.5,-1
16,8,0.5,1220
12,6,0.5,-1
8,4,0.5,878
8,4,0.5,1722
10,5,0.5,660
6,3,0.5,1002
4,2,0.5,1318
6,3,0.5,492
8,4,0.5,-1
16,8,0.5,1281
8,4,0.5,1148
8,4,0.5,428
6,3,0.5,132
6,3,0.5,-1
8,4,0.5,720
6,3,0.5,787
12,6,0.5,1193
10,5,0.5,1022
6,3,0.5,-1
12,6,0.5,827
14,7,0.5,1353
10,5,0.5,23
8,4,0.5,354
6,3,0.5,391
10,5,0.5,289
8,4,0.5,1510
6,3,0.5,1675
10,5,0.5,807
8,4,0.5,-1
8,4,0.5,618
16,8,0.5,-1
6,3,0.5,745
6,3,0.5,1507
6,3,0.5,1136
6,3,0.5,802
10,5,0.5,1384
8,4,0.5,25
6,3,0.5,496
10,5,0.5,-1
8,4,0.5,1245
12,6,0.5,1015
8,4,0.5,752
10,5,0.5,1174
6,3,0.5,1527
12,6,0.5,-1
4,2,0.5,1623
6,3,0.5,900
8,4,0.5,-1
10,5,0.5,853
8,4,0.5,1499
10,5,0.5,-1
6,3,0.5,1241
8,4,0.5,-1
6,3,0.5,859
8,4,0.5,784
6,3,0.5,13
12,6,0.5,883
6,3,0.5,679
6,3,0.5,698
6,3,0.5,74
10,5,0.5,-1
6,3,0.5,-1
8,4,0.5,800
6,3,0.5,245
6,3,0.5,861
8,4,0.5,59
8,4,0.5,1557
8,4,0.5,587
8,4,0.5,1695
10,5,0.5,1038
12,6,0.5,1246
8,4,0.5,1243
8,4,0.5,1616
8,4,0.5,1108
16,8,0.5,1520
8,4,0.5,539
6,3,0.5,706
8,4,0.5,180
6,3,0.5,1180
8,4,0.5,1065
10,5,0.5,357
8,4,0.5,591
8,4,0.5,1142
8,4,0.5,405
8,4,0.5,1673
8,4,0.5,344
8,4,0.5,709
12,6,0.5,1286
6,3,0.5,1719
6,3,0.5,1079
6,3,0.5,1668
6,3,0.5,1698
10,5,0.5,631
8,4,0.5,1443
12,6,0.5,144
8,4,0.5,220
8,4,0.5,746
8,4,0.5,1269
8,4,0.5,968
8,4,0.5,-1
4,2,0.5,-1
6,3,0.5,1338
18,9,0.5,-1
6,3,0.5,152
6,3,0.5,571
6,3,0.5,1544
10,5,0.5,-1
6,3,0.5,534
12,6,0.5,-1
4,2,0.5,1727
6,3,0.5,400
6,3,0.5,928
6,3,0.5,437
6,3,0.5,655
4,2,0.5,1151
12,6,0.5,-1
10,5,0.5,1569
6,3,0.5,387
10,5,0.5,-1
6,3,0.5,1074
12,6,0.5,494
6,3,0.5,200
14,7,0.5,-1
14,7,0.5,-1
4,2,0.5,-1
10,5,0.5,1265
10,5,0.5,-1
6,3,0.5,557
6,3,0.5,317
8,4,0.5,-1
6,3,0.5,-1
6,3,0.5,-1
4,2,0.5,-1
6,3,0.5,1688
4,2,0.5,-1
6,3,0.5,-1
6,3,0.5,-1
8,4,0.5,-1
6,3,0.5,-1
6,3,0.5,1425
10,5,0.5,1633
6,3,0.5,69
6,3,0.5,1197
6,3,0.5,661
6,3,0.5,1049
10,5,0.5,-1
6,3,0.5,1493
6,3,0.5,614
8,4,0.5,-1
6,3,0.5,408
10,5,0.5,1689
10,5,0.5,1123
8,4,0.5,737
10,5,0.5,-1
6,3,0.5,-1
4,2,0.5,1307
6,3,0.5,-1
12,6,0.5,-1
14,7,0.5,1071
4,2,0.5,1165
6,3,0.5,502
6,3,0.5,21
10,5,0.5,-1
6,3,0.5,711
6,3,0.5,721
6,3,0.5,1254
6,3,0.5,676
6,3,0.5,675
6,3,0.5,459
6,3,0.5,775
6,3,0.5,-1
14,7,0.5,-1
6,3,0.5,394
6,3,0.5,1739
6,3,0.5,988
6,3,0.5,957
6,3,0.5,-1
6,3,0.5,1218
6,3,0.5,-1
6,3,0.5,-1
6,3,0.5,-1
6,3,0.5,520
8,4,0.5,-1
10,5,0.5,615
6,3,0.5,1655
6,3,0.5,222
18,9,0.5,1739
6,3,0.5,1226
4,2,0.5,205
6,3,0.5,1595
6,3,0.5,420
6,3,0.5,841
10,5,0.5,1584
6,3,0.5,-1
10,5,0.5,911
6,3,0.5,875
6,3,0.5,-1
6,3,0.5,1047
6,3,0.5,555
6,3,0.5,-1
8,4,0.5,-1
6,3,0.5,-1
8,4,0.5,234
6,3,0.5,1444
10,5,0.5,393
6,3,0.5,-1
6,3,0.5,-1
6,3,0.5,-1
8,4,0.5,106
8,4,0.5,350
8,4,0.5,-1
8,4,0.5,866
8,4,0.5,758
8,4,0.5,56
8,4,0.5,903
8,4,0.5,1
8,4,0.5,682
8,4,0.5,1511
8,4,0.5,522
8,4,0.5,423
8,4,0.5,1404
8,4,0.5,-1
8,4,0.5,1708
8,4,0.5,1650
6,3,0.5,-1
16,8,0.5,1613
14,7,0.5,1471
16,8,0.5,1068
18,9,0.5,1609
8,4,0.5,1469
8,4,0.5,1438
6,3,0.5,1712
6,3,0.5,1100
8,4,0.5,1470
12,6,0.5,1540
12,6,0.5,1060
10,5,0.5,1062
6,3,0.5,934
8,4,0.5,371
12,6,0.5,1061
8,4,0.5,790
8,4,0.5,1717
12,6,0.5,1328
6,3,0.5,1739
10,5,0.5,1739
